"","x","y"
"3",-5.06041,43.30543
"12",-3.40118,42.22461
"17",-6.03717,43.15947
"20",-2.71077,42.16189
"24",-1.85168,42.80492
"25",0.23714,42.48022
"28",-3.89818,43.08633
"31",-5.42929,43.28018
"32",-3.20963,42.92757
"47",-3.58021,43.24146
"52",-2.62329,42.62095
"89",-1.1342,42.66939
"103",2.70785,42.27
"104",-5.38637,43.12801
"127",-5.227,43.14023
"144",-4.1783,42.95773
"157",-4.28955,43.00155
"163",-4.89968,42.894
"178",2.33711,41.77309
"185",-4.04028,42.76995
"193",-2.60335,41.91839
"199",-2.76823,42.99056
"216",-1.92223,42.96769
"223",-5.13119,43.21409
"227",-0.95547,42.90947
"242",-4.79087,43.364
"258",-2.13913,43.23968
"261",-0.8412,42.67325
"263",-0.68886,42.83236
"283",-2.20746,42.71788
"285",-3.82243,42.93382
"296",-3.90769,42.89715
"299",-2.70612,43.1525
"324",-0.88479,42.82715
"330",-4.56372,43.16923
"331",-2.91629,42.36937
"347",2.5277,42.03523
"357",-1.73464,43.14587
"363",-2.58208,43.30519
"365",-3.13429,42.08113
"370",1.74129,42.09234
"378",-3.11127,42.7476
"386",-2.45803,41.98985
"388",-1.28732,42.8699
"390",-1.43844,43.18723
"411",-2.78018,43.08063
"412",-2.90302,43.0808
"420",-5.63627,43.22157
"424",-4.64236,42.88897
"436",-6.19441,43.21747
"438",-3.0013,43.16189
"440",-2.74519,42.63029
"443",-2.62486,42.35978
"446",-2.35298,42.81786
"452",-3.09931,42.9097
"467",-2.48916,42.62043
"471",-3.22328,43.31475
"475",-0.83525,42.49303
"479",-5.9521,43.13282
"480",-2.58295,43.17913
"481",-4.09489,43.09363
"493",-1.60083,43.08128
"505",-5.0169,43.10811
"508",-0.03513,42.43009
"535",-5.85512,43.16229
"540",-4.28047,43.15474
"554",-5.65735,43.14005
"566",-2.38403,42.1516
"569",1.83453,42.28246
"571",-4.99819,42.91033
"583",-2.43704,42.9894
"591",-4.05464,42.89589
"604",-5.16927,42.89821
"613",-6.45195,43.2415
"625",-2.56495,42.24249
"635",-3.47838,42.8187
"642",-2.12071,42.8073
"646",0.76751,42.61786
"649",-6.13848,43.36015
"655",-3.73826,43.06946
"692",-2.50847,43.25988
"695",-3.01343,42.27034
"696",1.89673,42.19302
"709",-0.70706,42.67064
"711",-6.30589,43.20214
"715",-1.71269,43.01956
"739",-4.50945,42.96285
"743",1.99432,42.14888
"752",2.40563,42.16976
"756",0.85558,42.53849
"776",-5.29233,42.91382
"779",-6.58494,42.99226
"788",-4.93603,43.27159
"790",-5.09919,42.99857
"806",-5.76183,43.0025
"807",-5.15866,43.29462
"809",-0.36646,42.6453
"812",-0.10217,42.55787
"813",-2.68772,41.92766
"818",-0.86233,42.41249
"825",-2.14367,42.91554
"826",0.00413,42.51939
"827",-1.5039,43.02602
"830",-3.43057,41.18868
"841",-2.7839,42.01795
"842",-2.54182,42.08929
"850",0.75143,42.72561
"855",-3.37992,42.72001
"856",0.51704,42.47763
"860",-3.25779,42.72035
"871",-4.42718,43.11698
"886",-5.78107,42.88498
"895",-6.12401,43.14368
"899",-1.8226,43.04776
"900",-4.83318,43.12921
"909",-7.13716,43.38979
"917",-5.84802,43.0094
"924",-4.61032,43.06953
"929",-3.01356,42.95477
"930",-0.31327,42.46397
"931",-0.09715,42.6658
"933",-1.66576,42.91997
"935",0.09471,42.6658
"943",-5.15138,43.08765
"947",2.46953,41.76477
"951",-2.43547,43.16049
"954",-3.15919,42.36929
"959",0.82309,42.77201
"966",-0.79601,42.91552
"967",-0.54766,42.37917
"997",-4.59136,43.28591
"998",2.27226,42.187
"1001",-5.57986,43.05178
"1011",-1.45024,42.71914
"1012",-0.72483,42.51791
"1015",-0.46416,42.34133
"1023",-5.50883,43.11639
"1040",-1.99255,43.16644
"1041",-3.08727,43.0628
"1043",-3.33202,42.90026
"1058",-2.94077,42.17125
"1060",2.28538,42.09702
"1066",-2.73434,42.31506
"1068",-3.91274,43.2393
"1071",1.82525,42.12926
"1076",-1.96068,42.86899
"1082",0.68673,42.82337
"1088",-6.46424,42.94463
"1090",-3.55631,43.32263
"1100",-3.43158,43.12506
"1119",-6.06756,43.29532
"1131",-1.59103,42.9731
"1135",2.48069,41.8729
"1142",-3.28377,43.06248
"1143",2.44337,42.00783
"1152",-1.45775,42.90834
"1159",-5.53861,42.94464
"1168",-1.14237,42.8046
"1172",0.47514,42.61179
"1181",-4.19615,43.2457
"1219",0.33589,42.44654
"1220",-3.35808,43.17033
"1233",2.30721,42.31331
"1235",0.39251,42.5469
"1236",-3.16038,42.83759
"1240",-5.75642,43.15571
"1241",-1.20009,42.92259
"1274",-2.26725,42.82634
"1279",-6.43435,43.36717
"1283",2.68449,42.0898
"1286",-6.18913,43.06426
"1289",-1.57316,42.68471
"1311",-3.70009,42.95264
"1320",-6.28568,43.10261
"1327",-2.98906,42.86472
"1328",-3.06184,42.17125
"1335",-3.61589,43.11521
"1336",-0.98407,42.4057
"1348",-3.3472,41.20698
"1357",-5.28252,43.31022
"1381",0.11231,42.54919
"1385",2.40411,42.33186
"1392",-0.74038,42.76135
"1408",0.1181,42.42326
"1473",-2.92769,42.99977
"1480",-1.97441,42.77907
"1482",0.61701,42.40771
"1491",-1.11632,42.45297
"1500",-1.58607,43.18915
"1501",-0.63363,42.35397
"1516",-0.48724,42.67503
"1543",-6.69492,43.00354
"1544",-2.67515,42.0267
"1552",-1.33287,42.99664
"1560",-2.35194,42.91691
"1571",-2.75892,42.23406
"1574",-2.04497,42.95978
"1579",-2.57365,42.74685
"1586",-3.66139,42.77276
"1591",-4.412,42.9911
"1593",-1.76228,41.75929
"1598",-1.81241,42.93959
"1610",1.75001,42.26356
"1631",-3.01338,42.01816
"1637",-3.51794,43.16072
"1644",-2.60183,42.16157
"1647",-3.03776,42.39642
"1650",-2.85419,42.95468
"1654",-4.16945,43.13792
"1669",-2.45099,42.80036
"1679",-4.6781,43.30268
"1684",-4.7336,43.08574
"1690",2.52576,42.29641
"1699",0.24336,42.61545
